Peildatum,Jaar,WijkCode,Wijk,AantalInwoners,Aantal_0_15,Aantal_15_25,pct_0_15,pct_15_25
2018-01-01,2018,WK003401,WK003401  ,22790,3975,2420,17.441860465116278,10.618692408951294
2019-01-01,2019,WK003401,WK003401  ,22875,3945,2415,17.245901639344265,10.557377049180328
2020-01-01,2020,WK003401,WK003401  ,23275,4005,2485,17.207303974221265,10.676691729323307
2021-01-01,2021,WK003401,WK003401  ,23530,4180,2465,17.764555886102848,10.475988100297492
2022-01-01,2022,WK003401,WK003401  ,1635,175,150,10.703363914373089,9.174311926605505
2023-01-01,2023,WK003401,WK003401  ,1740,190,160,10.919540229885058,9.195402298850574
2024-01-01,2024,WK003401,WK003401  ,1765,195,135,11.048158640226628,7.64872521246459
2025-01-01,2025,WK003401,WK003401  ,1810,220,160,12.154696132596685,8.83977900552486
2018-01-01,2018,WK003402,WK003402  ,108800,19915,14890,18.30422794117647,13.685661764705884
2019-01-01,2019,WK003402,WK003402  ,109260,19505,14975,17.85191286838733,13.705839282445542
2020-01-01,2020,WK003402,WK003402  ,109805,19275,14890,17.553845453303584,13.560402531760849
2021-01-01,2021,WK003402,WK003402  ,109415,18890,14625,17.264543252753278,13.366540236713432
2022-01-01,2022,WK003402,WK003402  ,2860,490,305,17.132867132867133,10.664335664335663
2023-01-01,2023,WK003402,WK003402  ,2860,495,305,17.307692307692307,10.664335664335663
2024-01-01,2024,WK003402,WK003402  ,2880,485,315,16.84027777777778,10.9375
2025-01-01,2025,WK003402,WK003402  ,2890,485,315,16.782006920415224,10.899653979238755
2018-01-01,2018,WK003403,WK003403  ,56315,11190,7730,19.870372014560953,13.726360649915653
2019-01-01,2019,WK003403,WK003403  ,56760,10955,7895,19.300563777307964,13.909443269908387
2020-01-01,2020,WK003403,WK003403  ,56970,10700,7955,18.781814990345797,13.963489555906616
2021-01-01,2021,WK003403,WK003403  ,56985,10480,7780,18.39080459770115,13.652715626919365
2022-01-01,2022,WK003403,WK003403  ,2460,450,300,18.29268292682927,12.195121951219512
2023-01-01,2023,WK003403,WK003403  ,2510,465,300,18.52589641434263,11.952191235059761
2024-01-01,2024,WK003403,WK003403  ,2495,425,315,17.034068136272545,12.625250501002002
2025-01-01,2025,WK003403,WK003403  ,2500,445,305,17.8,12.2
2018-01-01,2018,WK003404,WK003404  ,13430,3375,1220,25.13030528667163,9.084139985107967
2019-01-01,2019,WK003404,WK003404  ,15365,3900,1390,25.38236251220306,9.046534331272372
2020-01-01,2020,WK003404,WK003404  ,16760,4285,1465,25.566825775656326,8.741050119331742
2021-01-01,2021,WK003404,WK003404  ,18095,4585,1600,25.338491295938105,8.842221608179054
2022-01-01,2022,WK003404,WK003404  ,2230,380,195,17.040358744394617,8.74439461883408
2023-01-01,2023,WK003404,WK003404  ,2220,380,205,17.117117117117118,9.234234234234235
2024-01-01,2024,WK003404,WK003404  ,2200,365,210,16.590909090909093,9.545454545454547
2025-01-01,2025,WK003404,WK003404  ,2220,370,190,16.666666666666664,8.558558558558559
2018-01-01,2018,WK003405,WK003405  ,2655,465,235,17.51412429378531,8.851224105461393
2019-01-01,2019,WK003405,WK003405  ,3645,760,315,20.85048010973937,8.641975308641975
2020-01-01,2020,WK003405,WK003405  ,5060,1155,435,22.82608695652174,8.596837944664031
2021-01-01,2021,WK003405,WK003405  ,6660,1570,555,23.573573573573572,8.333333333333332
2022-01-01,2022,WK003405,WK003405  ,2285,380,230,16.630196936542667,10.065645514223196
2023-01-01,2023,WK003405,WK003405  ,2310,395,235,17.0995670995671,10.173160173160174
2024-01-01,2024,WK003405,WK003405  ,2310,405,230,17.532467532467532,9.956709956709958
2025-01-01,2025,WK003405,WK003405  ,2365,425,250,17.970401691331926,10.570824524312897
2022-01-01,2022,WK003406,WK003406  ,3000,545,330,18.166666666666668,11.0
2023-01-01,2023,WK003406,WK003406  ,2975,540,325,18.15126050420168,10.92436974789916
2024-01-01,2024,WK003406,WK003406  ,2995,555,335,18.530884808013358,11.185308848080133
2025-01-01,2025,WK003406,WK003406  ,2955,530,345,17.93570219966159,11.6751269035533
2022-01-01,2022,WK003407,WK003407  ,2720,450,275,16.544117647058822,10.11029411764706
2023-01-01,2023,WK003407,WK003407  ,2710,445,270,16.420664206642066,9.96309963099631
2024-01-01,2024,WK003407,WK003407  ,2720,450,285,16.544117647058822,10.477941176470589
2025-01-01,2025,WK003407,WK003407  ,2760,460,290,16.666666666666664,10.507246376811594
2022-01-01,2022,WK003408,WK003408  ,3605,675,365,18.723994452149793,10.124826629680998
2023-01-01,2023,WK003408,WK003408  ,3615,690,350,19.08713692946058,9.681881051175658
2024-01-01,2024,WK003408,WK003408  ,3655,705,350,19.288645690834475,9.575923392612859
2025-01-01,2025,WK003408,WK003408  ,3700,695,375,18.783783783783782,10.135135135135135
2022-01-01,2022,WK003409,WK003409  ,1545,270,180,17.475728155339805,11.650485436893204
2023-01-01,2023,WK003409,WK003409  ,1535,260,175,16.938110749185668,11.400651465798045
2024-01-01,2024,WK003409,WK003409  ,1515,255,170,16.831683168316832,11.221122112211221
2025-01-01,2025,WK003409,WK003409  ,1495,240,160,16.05351170568562,10.702341137123746
2022-01-01,2022,WK003410,WK003410  ,500,75,80,15.0,16.0
2023-01-01,2023,WK003410,WK003410  ,525,75,90,14.285714285714285,17.142857142857142
2024-01-01,2024,WK003410,WK003410  ,630,95,100,15.079365079365079,15.873015873015872
2025-01-01,2025,WK003410,WK003410  ,715,115,110,16.083916083916083,15.384615384615385
2022-01-01,2022,WK003411,WK003411  ,890,280,95,31.46067415730337,10.674157303370785
2023-01-01,2023,WK003411,WK003411  ,1050,320,120,30.476190476190478,11.428571428571429
2024-01-01,2024,WK003411,WK003411  ,1145,340,135,29.694323144104807,11.790393013100436
2025-01-01,2025,WK003411,WK003411  ,1160,340,140,29.310344827586203,12.068965517241379
2022-01-01,2022,WK003414,WK003414  ,80,10,5,12.5,6.25
2023-01-01,2023,WK003414,WK003414  ,80,5,15,6.25,18.75
2024-01-01,2024,WK003414,WK003414  ,70,5,10,7.142857142857142,14.285714285714285
2025-01-01,2025,WK003414,WK003414  ,75,10,5,13.333333333333334,6.666666666666667
2022-01-01,2022,WK003417,WK003417  ,4825,555,480,11.50259067357513,9.94818652849741
2023-01-01,2023,WK003417,WK003417  ,5810,650,695,11.187607573149743,11.962134251290877
2024-01-01,2024,WK003417,WK003417  ,6280,665,840,10.589171974522294,13.375796178343949
2025-01-01,2025,WK003417,WK003417  ,6290,710,765,11.287758346581876,12.162162162162163
2022-01-01,2022,WK003418,WK003418  ,10365,1570,1570,15.147129763627593,15.147129763627593
2023-01-01,2023,WK003418,WK003418  ,10450,1605,1530,15.35885167464115,14.641148325358852
2024-01-01,2024,WK003418,WK003418  ,10425,1580,1475,15.15587529976019,14.148681055155876
2025-01-01,2025,WK003418,WK003418  ,10360,1520,1455,14.671814671814673,14.044401544401545
2022-01-01,2022,WK003419,WK003419  ,5670,990,880,17.46031746031746,15.520282186948853
2023-01-01,2023,WK003419,WK003419  ,5660,965,875,17.04946996466431,15.459363957597173
2024-01-01,2024,WK003419,WK003419  ,5640,975,850,17.287234042553195,15.070921985815602
2025-01-01,2025,WK003419,WK003419  ,5560,925,845,16.636690647482013,15.197841726618705
2022-01-01,2022,WK003420,WK003420  ,5480,850,805,15.51094890510949,14.68978102189781
2023-01-01,2023,WK003420,WK003420  ,5475,855,770,15.616438356164384,14.063926940639268
2024-01-01,2024,WK003420,WK003420  ,5460,855,740,15.659340659340659,13.553113553113553
2025-01-01,2025,WK003420,WK003420  ,5400,835,710,15.462962962962962,13.148148148148147
