Peildatum,Wijk,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9,Jaar,pct_0_15,pct_15_25,Jeugdzorg,Jeugdzorg_lag1
2025-01-01,WK003450  ,3275,605,355,2025,18.473282442748094,10.839694656488549,960,955.0
2023-01-01,WK003451  ,6000,1090,905,2023,18.166666666666668,15.083333333333334,1995,2010.0
2024-01-01,WK003451  ,6045,1050,930,2024,17.3697270471464,15.384615384615383,1980,1995.0
2025-01-01,WK003451  ,6065,1065,885,2025,17.55976916735367,14.5919208573784,1950,1980.0
2023-01-01,WK003452  ,7105,1590,920,2023,22.37860661505982,12.94862772695285,2510,2535.0
2024-01-01,WK003452  ,7140,1565,945,2024,21.9187675070028,13.23529411764706,2510,2510.0
2025-01-01,WK003452  ,7150,1510,970,2025,21.11888111888112,13.566433566433568,2480,2510.0
2023-01-01,WK003453  ,1085,170,145,2023,15.668202764976956,13.36405529953917,315,325.0
2024-01-01,WK003453  ,1080,160,160,2024,14.814814814814811,14.814814814814811,320,315.0
2025-01-01,WK003453  ,1080,150,165,2025,13.88888888888889,15.27777777777778,315,320.0
2023-01-01,WK003456  ,60,10,10,2023,16.666666666666664,16.666666666666664,20,20.0
2024-01-01,WK003456  ,55,15,5,2024,27.27272727272727,9.090909090909092,20,20.0
2025-01-01,WK003456  ,55,15,15,2025,27.27272727272727,27.27272727272727,30,20.0
2023-01-01,WK003458  ,195,25,40,2023,12.82051282051282,20.51282051282051,65,60.0
2024-01-01,WK003458  ,190,20,30,2024,10.526315789473683,15.789473684210526,50,65.0
2025-01-01,WK003458  ,205,20,35,2025,9.75609756097561,17.073170731707318,55,50.0
2023-01-01,WK003460  ,470,155,70,2023,32.97872340425532,14.893617021276595,225,30.0
2024-01-01,WK003460  ,920,280,130,2024,30.434782608695656,14.130434782608695,410,225.0
2025-01-01,WK003460  ,2275,680,280,2025,29.89010989010989,12.307692307692308,960,410.0
2023-01-01,WK003461  ,4810,975,405,2023,20.27027027027027,8.419958419958421,1380,1395.0
2024-01-01,WK003461  ,4805,945,395,2024,19.66701352757544,8.220603537981269,1340,1380.0
2025-01-01,WK003461  ,4800,925,410,2025,19.270833333333336,8.541666666666666,1335,1340.0
2023-01-01,WK003462  ,3160,770,325,2023,24.367088607594937,10.28481012658228,1095,1090.0
2024-01-01,WK003462  ,3325,785,340,2024,23.609022556390972,10.225563909774436,1125,1095.0
2025-01-01,WK003462  ,3420,800,380,2025,23.391812865497077,11.11111111111111,1180,1125.0
2023-01-01,WK003463  ,7900,2195,770,2023,27.78481012658228,9.746835443037977,2965,2830.0
2024-01-01,WK003463  ,8025,2190,790,2024,27.289719626168225,9.84423676012461,2980,2965.0
2025-01-01,WK003463  ,8040,2155,835,2025,26.803482587064675,10.385572139303482,2990,2980.0
2023-01-01,WK003465  ,1320,405,135,2023,30.681818181818183,10.227272727272728,540,455.0
2024-01-01,WK003465  ,1355,435,115,2024,32.10332103321033,8.487084870848708,550,540.0
2025-01-01,WK003465  ,1455,460,125,2025,31.615120274914087,8.59106529209622,585,550.0
2023-01-01,WK003466  ,3125,690,205,2023,22.08,6.5600000000000005,895,820.0
2024-01-01,WK003466  ,3310,730,220,2024,22.05438066465257,6.646525679758309,950,895.0
2025-01-01,WK003466  ,3375,740,235,2025,21.925925925925927,6.962962962962963,975,950.0
2023-01-01,WK003475  ,1595,200,170,2023,12.539184952978054,10.658307210031348,370,325.0
2024-01-01,WK003475  ,1605,215,160,2024,13.395638629283487,9.96884735202492,375,370.0
2025-01-01,WK003475  ,1620,215,155,2025,13.271604938271606,9.5679012345679,370,375.0
2023-01-01,WK003476  ,3725,1235,300,2023,33.15436241610738,8.053691275167784,1535,1385.0
2024-01-01,WK003476  ,4070,1330,340,2024,32.67813267813268,8.353808353808354,1670,1535.0
2025-01-01,WK003476  ,4400,1410,420,2025,32.04545454545455,9.545454545454549,1830,1670.0
2023-01-01,WK003477  ,4625,995,345,2023,21.513513513513512,7.45945945945946,1340,945.0
2024-01-01,WK003477  ,5230,1115,400,2024,21.31931166347992,7.648183556405354,1515,1340.0
2025-01-01,WK003477  ,6135,1300,465,2025,21.189894050529748,7.579462102689487,1765,1515.0
2023-01-01,WK003485  ,85,10,10,2023,11.76470588235294,11.76470588235294,20,20.0
2024-01-01,WK003485  ,80,5,15,2024,6.25,18.75,20,20.0
