Peildatum,Wijk,AantalInwoners_5,k_0Tot15Jaar_8,k_15Tot25Jaar_9,Jaar,pct_0_15,pct_15_25
2019-01-01,WK003404  ,15365,3900,1390,2019,25.38236251220306,9.046534331272372
2020-01-01,WK003404  ,16760,4285,1465,2020,25.566825775656326,8.741050119331742
2021-01-01,WK003404  ,18095,4585,1600,2021,25.338491295938105,8.842221608179054
2022-01-01,WK003404  ,2230,380,195,2022,17.040358744394617,8.74439461883408
2023-01-01,WK003404  ,2220,380,205,2023,17.117117117117118,9.234234234234235
2024-01-01,WK003404  ,2200,365,210,2024,16.590909090909093,9.545454545454547
2025-01-01,WK003404  ,2220,370,190,2025,16.666666666666664,8.558558558558559
2018-01-01,WK003405  ,2655,465,235,2018,17.51412429378531,8.851224105461393
2019-01-01,WK003405  ,3645,760,315,2019,20.85048010973937,8.641975308641975
2020-01-01,WK003405  ,5060,1155,435,2020,22.82608695652174,8.596837944664031
2021-01-01,WK003405  ,6660,1570,555,2021,23.573573573573572,8.333333333333332
2022-01-01,WK003405  ,2285,380,230,2022,16.630196936542667,10.065645514223196
2023-01-01,WK003405  ,2310,395,235,2023,17.0995670995671,10.173160173160174
2024-01-01,WK003405  ,2310,405,230,2024,17.532467532467532,9.956709956709958
2025-01-01,WK003405  ,2365,425,250,2025,17.970401691331926,10.570824524312897
2022-01-01,WK003406  ,3000,545,330,2022,18.166666666666668,11.0
2023-01-01,WK003406  ,2975,540,325,2023,18.15126050420168,10.92436974789916
2024-01-01,WK003406  ,2995,555,335,2024,18.530884808013358,11.185308848080133
2025-01-01,WK003406  ,2955,530,345,2025,17.93570219966159,11.6751269035533
2022-01-01,WK003407  ,2720,450,275,2022,16.544117647058822,10.11029411764706
2023-01-01,WK003407  ,2710,445,270,2023,16.420664206642066,9.96309963099631
2024-01-01,WK003407  ,2720,450,285,2024,16.544117647058822,10.477941176470589
2025-01-01,WK003407  ,2760,460,290,2025,16.666666666666664,10.507246376811594
2022-01-01,WK003408  ,3605,675,365,2022,18.723994452149793,10.124826629680998
2023-01-01,WK003408  ,3615,690,350,2023,19.08713692946058,9.681881051175658
2024-01-01,WK003408  ,3655,705,350,2024,19.288645690834475,9.575923392612859
2025-01-01,WK003408  ,3700,695,375,2025,18.783783783783782,10.135135135135135
2022-01-01,WK003409  ,1545,270,180,2022,17.475728155339805,11.650485436893204
2023-01-01,WK003409  ,1535,260,175,2023,16.938110749185668,11.400651465798045
2024-01-01,WK003409  ,1515,255,170,2024,16.831683168316832,11.221122112211221
2025-01-01,WK003409  ,1495,240,160,2025,16.05351170568562,10.702341137123746
2022-01-01,WK003410  ,500,75,80,2022,15.0,16.0
2023-01-01,WK003410  ,525,75,90,2023,14.285714285714285,17.142857142857142
2024-01-01,WK003410  ,630,95,100,2024,15.079365079365079,15.873015873015872
2025-01-01,WK003410  ,715,115,110,2025,16.083916083916083,15.384615384615385
2022-01-01,WK003411  ,890,280,95,2022,31.46067415730337,10.674157303370785
2023-01-01,WK003411  ,1050,320,120,2023,30.476190476190478,11.428571428571429
2024-01-01,WK003411  ,1145,340,135,2024,29.694323144104807,11.790393013100436
2025-01-01,WK003411  ,1160,340,140,2025,29.310344827586203,12.068965517241379
2022-01-01,WK003414  ,80,10,5,2022,12.5,6.25
2023-01-01,WK003414  ,80,5,15,2023,6.25,18.75
2024-01-01,WK003414  ,70,5,10,2024,7.142857142857142,14.285714285714285
2025-01-01,WK003414  ,75,10,5,2025,13.333333333333334,6.666666666666667
2022-01-01,WK003417  ,4825,555,480,2022,11.50259067357513,9.94818652849741
2023-01-01,WK003417  ,5810,650,695,2023,11.187607573149743,11.962134251290877
2024-01-01,WK003417  ,6280,665,840,2024,10.589171974522294,13.375796178343949
2025-01-01,WK003417  ,6290,710,765,2025,11.287758346581876,12.162162162162163
2022-01-01,WK003418  ,10365,1570,1570,2022,15.147129763627593,15.147129763627593
2023-01-01,WK003418  ,10450,1605,1530,2023,15.35885167464115,14.641148325358852
2024-01-01,WK003418  ,10425,1580,1475,2024,15.15587529976019,14.148681055155876
2025-01-01,WK003418  ,10360,1520,1455,2025,14.671814671814673,14.044401544401545
2022-01-01,WK003419  ,5670,990,880,2022,17.46031746031746,15.520282186948853
2023-01-01,WK003419  ,5660,965,875,2023,17.04946996466431,15.459363957597173
2024-01-01,WK003419  ,5640,975,850,2024,17.287234042553195,15.070921985815602
2025-01-01,WK003419  ,5560,925,845,2025,16.636690647482013,15.197841726618705
2022-01-01,WK003420  ,5480,850,805,2022,15.51094890510949,14.68978102189781
2023-01-01,WK003420  ,5475,855,770,2023,15.616438356164384,14.063926940639268
2024-01-01,WK003420  ,5460,855,740,2024,15.659340659340659,13.553113553113553
2025-01-01,WK003420  ,5400,835,710,2025,15.462962962962962,13.148148148148147
2022-01-01,WK003421  ,3535,550,505,2022,15.558698727015557,14.285714285714285
2023-01-01,WK003421  ,3485,540,475,2023,15.494978479196556,13.629842180774748
2024-01-01,WK003421  ,3460,510,465,2024,14.739884393063585,13.439306358381502
2025-01-01,WK003421  ,3400,485,440,2025,14.26470588235294,12.941176470588237
2022-01-01,WK003422  ,7355,1130,775,2022,15.363698164513936,10.53704962610469
2023-01-01,WK003422  ,7310,1140,770,2023,15.595075239398085,10.533515731874145
2024-01-01,WK003422  ,7410,1165,770,2024,15.72199730094467,10.39136302294197
2025-01-01,WK003422  ,7505,1190,770,2025,15.856095936042639,10.259826782145238
2022-01-01,WK003423  ,6020,1030,930,2022,17.109634551495017,15.448504983388705
2023-01-01,WK003423  ,6050,995,930,2023,16.446280991735538,15.37190082644628
2024-01-01,WK003423  ,6030,945,895,2024,15.671641791044777,14.842454394693199
2025-01-01,WK003423  ,5960,965,870,2025,16.191275167785236,14.597315436241612
2022-01-01,WK003424  ,9895,1770,1495,2022,17.887822132390095,15.108640727640221
2023-01-01,WK003424  ,9935,1720,1495,2023,17.31253145445395,15.047810770005032
2024-01-01,WK003424  ,9915,1690,1490,2024,17.044881492687846,15.02773575390822
2025-01-01,WK003424  ,9985,1655,1505,2025,16.57486229344016,15.072608913370056
2022-01-01,WK003425  ,2455,495,270,2022,20.162932790224033,10.9979633401222
2023-01-01,WK003425  ,2440,485,280,2023,19.87704918032787,11.475409836065573
2024-01-01,WK003425  ,2440,465,300,2024,19.057377049180328,12.295081967213115
2025-01-01,WK003425  ,2430,455,295,2025,18.72427983539095,12.139917695473251
2022-01-01,WK003426  ,8015,1425,915,2022,17.779164067373674,11.41609482220836
2023-01-01,WK003426  ,7930,1370,920,2023,17.276166456494323,11.601513240857503
2024-01-01,WK003426  ,7935,1370,890,2024,17.265280403276623,11.216131064902331
2025-01-01,WK003426  ,7930,1360,880,2025,17.150063051702396,11.097099621689786
2022-01-01,WK003427  ,10260,1810,1390,2022,17.64132553606238,13.54775828460039
2023-01-01,WK003427  ,10345,1820,1430,2023,17.593040115998065,13.823102948284197
2024-01-01,WK003427  ,10340,1785,1440,2024,17.263056092843325,13.926499032882012
2025-01-01,WK003427  ,10330,1745,1415,2025,16.892545982575026,13.697967086156826
2022-01-01,WK003428  ,11020,1785,1265,2022,16.1978221415608,11.47912885662432
2023-01-01,WK003428  ,11125,1815,1230,2023,16.314606741573034,11.0561797752809
2024-01-01,WK003428  ,11110,1860,1195,2024,16.741674167416743,10.756075607560756
2025-01-01,WK003428  ,11165,1830,1200,2025,16.39050604567846,10.747872816838335
2022-01-01,WK003429  ,6210,865,650,2022,13.929146537842191,10.466988727858293
2023-01-01,WK003429  ,6180,885,655,2023,14.320388349514563,10.598705501618124
2024-01-01,WK003429  ,6260,925,640,2024,14.776357827476039,10.223642172523961
2025-01-01,WK003429  ,6210,925,635,2025,14.895330112721417,10.225442834138486
2022-01-01,WK003430  ,9705,1750,1490,2022,18.03194229778465,15.352910870685212
2023-01-01,WK003430  ,9665,1725,1455,2023,17.847904811174338,15.054319710294878
2024-01-01,WK003430  ,9695,1735,1430,2024,17.895822588963384,14.7498710675606
2025-01-01,WK003430  ,9650,1680,1440,2025,17.409326424870468,14.922279792746112
2022-01-01,WK003431  ,8045,2020,850,2022,25.108763206960845,10.565568676196396
2023-01-01,WK003431  ,8080,2015,900,2023,24.93811881188119,11.138613861386139
2024-01-01,WK003431  ,8050,1945,940,2024,24.161490683229815,11.677018633540373
2025-01-01,WK003431  ,8030,1870,990,2025,23.28767123287671,12.32876712328767
2024-01-01,WK003432  ,245,10,25,2024,4.081632653061225,10.204081632653061
2025-01-01,WK003432  ,240,5,20,2025,2.083333333333333,8.333333333333332
2023-01-01,WK003435  ,20,5,5,2023,25.0,25.0
2024-01-01,WK003435  ,45,5,10,2024,11.11111111111111,22.22222222222222
2025-01-01,WK003435  ,50,10,5,2025,20.0,10.0
2022-01-01,WK003437  ,30,10,25,2022,33.33333333333333,83.33333333333334
2023-01-01,WK003437  ,150,20,55,2023,13.333333333333334,36.666666666666664
2024-01-01,WK003437  ,155,15,55,2024,9.67741935483871,35.483870967741936
2025-01-01,WK003437  ,150,10,50,2025,6.666666666666667,33.33333333333333
2022-01-01,WK003441  ,2330,295,200,2022,12.660944206008583,8.583690987124463
2023-01-01,WK003441  ,2380,290,205,2023,12.184873949579831,8.61344537815126
2024-01-01,WK003441  ,2465,305,215,2024,12.373225152129818,8.72210953346856
2025-01-01,WK003441  ,2400,310,200,2025,12.916666666666668,8.333333333333332
2022-01-01,WK003442  ,5795,1110,965,2022,19.15444348576359,16.652286453839515
2023-01-01,WK003442  ,5800,1095,935,2023,18.879310344827584,16.120689655172413
2024-01-01,WK003442  ,5770,1040,940,2024,18.02426343154246,16.291161178509533
2025-01-01,WK003442  ,5675,975,930,2025,17.180616740088105,16.387665198237887
2022-01-01,WK003443  ,5025,890,740,2022,17.71144278606965,14.72636815920398
2023-01-01,WK003443  ,5050,895,720,2023,17.722772277227723,14.257425742574256
2024-01-01,WK003443  ,5045,895,675,2024,17.74033696729435,13.37958374628345
2025-01-01,WK003443  ,5025,880,665,2025,17.512437810945276,13.233830845771145
2022-01-01,WK003444  ,3985,755,495,2022,18.946047678795484,12.421580928481808
2023-01-01,WK003444  ,4015,770,495,2023,19.17808219178082,12.32876712328767
2024-01-01,WK003444  ,3990,740,510,2024,18.546365914786968,12.781954887218044
2025-01-01,WK003444  ,4025,740,525,2025,18.385093167701864,13.043478260869565
2022-01-01,WK003445  ,4395,755,530,2022,17.178612059158134,12.059158134243459
2023-01-01,WK003445  ,4370,750,530,2023,17.162471395881006,12.128146453089245
2024-01-01,WK003445  ,4375,750,520,2024,17.142857142857142,11.885714285714286
2025-01-01,WK003445  ,4455,760,535,2025,17.059483726150393,12.008978675645341
2022-01-01,WK003446  ,4005,670,535,2022,16.729088639201,13.358302122347066
2023-01-01,WK003446  ,4010,675,520,2023,16.83291770573566,12.967581047381547
2024-01-01,WK003446  ,4030,685,515,2024,16.997518610421835,12.779156327543426
2025-01-01,WK003446  ,3990,680,485,2025,17.042606516290725,12.155388471177945
2022-01-01,WK003447  ,4375,685,635,2022,15.657142857142858,14.514285714285712
2023-01-01,WK003447  ,4335,700,585,2023,16.147635524798154,13.494809688581316
2024-01-01,WK003447  ,4320,690,570,2024,15.972222222222221,13.194444444444445
2025-01-01,WK003447  ,4310,680,555,2025,15.777262180974477,12.877030162412991
2022-01-01,WK003448  ,5265,880,610,2022,16.714150047483383,11.585944919278253
2023-01-01,WK003448  ,5275,865,615,2023,16.398104265402843,11.658767772511847
2024-01-01,WK003448  ,5280,865,615,2024,16.382575757575758,11.647727272727272
2025-01-01,WK003448  ,5275,865,620,2025,16.398104265402843,11.753554502369669
2022-01-01,WK003449  ,5285,925,810,2022,17.50236518448439,15.32639545884579
2023-01-01,WK003449  ,5235,905,775,2023,17.28748806112703,14.804202483285579
2024-01-01,WK003449  ,5260,915,760,2024,17.39543726235741,14.44866920152091
2025-01-01,WK003449  ,5295,915,755,2025,17.280453257790366,14.258734655335223
2022-01-01,WK003450  ,2590,470,285,2022,18.146718146718147,11.003861003861005
2023-01-01,WK003450  ,2645,475,260,2023,17.958412098298677,9.829867674858223
2024-01-01,WK003450  ,3240,610,345,2024,18.82716049382716,10.648148148148149
2025-01-01,WK003450  ,3275,605,355,2025,18.473282442748094,10.839694656488549
2022-01-01,WK003451  ,5975,1120,890,2022,18.744769874476987,14.89539748953975
2023-01-01,WK003451  ,6000,1090,905,2023,18.166666666666668,15.083333333333334
2024-01-01,WK003451  ,6045,1050,930,2024,17.3697270471464,15.384615384615385
2025-01-01,WK003451  ,6065,1065,885,2025,17.55976916735367,14.591920857378401
2022-01-01,WK003452  ,7095,1640,895,2022,23.114869626497534,12.614517265680055
2023-01-01,WK003452  ,7105,1590,920,2023,22.37860661505982,12.94862772695285
2024-01-01,WK003452  ,7140,1565,945,2024,21.9187675070028,13.23529411764706
2025-01-01,WK003452  ,7150,1510,970,2025,21.11888111888112,13.566433566433567
2022-01-01,WK003453  ,1025,185,140,2022,18.048780487804876,13.658536585365855
2023-01-01,WK003453  ,1085,170,145,2023,15.668202764976957,13.36405529953917
2024-01-01,WK003453  ,1080,160,160,2024,14.814814814814813,14.814814814814813
2025-01-01,WK003453  ,1080,150,165,2025,13.88888888888889,15.277777777777779
2022-01-01,WK003456  ,60,10,10,2022,16.666666666666664,16.666666666666664
2023-01-01,WK003456  ,60,10,10,2023,16.666666666666664,16.666666666666664
2024-01-01,WK003456  ,55,15,5,2024,27.27272727272727,9.090909090909092
2025-01-01,WK003456  ,55,15,15,2025,27.27272727272727,27.27272727272727
2022-01-01,WK003458  ,200,25,35,2022,12.5,17.5
2023-01-01,WK003458  ,195,25,40,2023,12.82051282051282,20.51282051282051
2024-01-01,WK003458  ,190,20,30,2024,10.526315789473683,15.789473684210526
2025-01-01,WK003458  ,205,20,35,2025,9.75609756097561,17.073170731707318
2025-01-01,WK003459  ,155,5,35,2025,3.225806451612903,22.58064516129032
2022-01-01,WK003460  ,35,20,10,2022,57.14285714285714,28.57142857142857
2023-01-01,WK003460  ,470,155,70,2023,32.97872340425532,14.893617021276595
2024-01-01,WK003460  ,920,280,130,2024,30.434782608695656,14.130434782608695
2025-01-01,WK003460  ,2275,680,280,2025,29.89010989010989,12.307692307692308
2022-01-01,WK003461  ,4635,950,445,2022,20.496224379719525,9.60086299892125
2023-01-01,WK003461  ,4810,975,405,2023,20.27027027027027,8.419958419958421
2024-01-01,WK003461  ,4805,945,395,2024,19.667013527575442,8.220603537981269
2025-01-01,WK003461  ,4800,925,410,2025,19.270833333333336,8.541666666666666
2022-01-01,WK003462  ,3180,800,290,2022,25.157232704402517,9.119496855345911
2023-01-01,WK003462  ,3160,770,325,2023,24.367088607594937,10.284810126582279
2024-01-01,WK003462  ,3325,785,340,2024,23.609022556390975,10.225563909774436
2025-01-01,WK003462  ,3420,800,380,2025,23.391812865497073,11.11111111111111
2022-01-01,WK003463  ,7560,2140,690,2022,28.306878306878307,9.126984126984127
2023-01-01,WK003463  ,7900,2195,770,2023,27.784810126582276,9.746835443037975
2024-01-01,WK003463  ,8025,2190,790,2024,27.289719626168225,9.84423676012461
2025-01-01,WK003463  ,8040,2155,835,2025,26.803482587064675,10.385572139303482
2022-01-01,WK003465  ,1110,350,105,2022,31.53153153153153,9.45945945945946
2023-01-01,WK003465  ,1320,405,135,2023,30.681818181818183,10.227272727272728
2024-01-01,WK003465  ,1355,435,115,2024,32.10332103321033,8.487084870848708
2025-01-01,WK003465  ,1455,460,125,2025,31.615120274914087,8.59106529209622
2022-01-01,WK003466  ,2865,635,185,2022,22.164048865619545,6.457242582897033
2023-01-01,WK003466  ,3125,690,205,2023,22.08,6.5600000000000005
2024-01-01,WK003466  ,3310,730,220,2024,22.054380664652566,6.646525679758309
2025-01-01,WK003466  ,3375,740,235,2025,21.925925925925927,6.962962962962963
2022-01-01,WK003475  ,1440,155,170,2022,10.76388888888889,11.805555555555555
2023-01-01,WK003475  ,1595,200,170,2023,12.539184952978054,10.658307210031348
2024-01-01,WK003475  ,1605,215,160,2024,13.395638629283487,9.968847352024921
2025-01-01,WK003475  ,1620,215,155,2025,13.271604938271606,9.5679012345679
2022-01-01,WK003476  ,3375,1115,270,2022,33.03703703703704,8.0
2023-01-01,WK003476  ,3725,1235,300,2023,33.15436241610738,8.053691275167784
2024-01-01,WK003476  ,4070,1330,340,2024,32.67813267813268,8.353808353808354
2025-01-01,WK003476  ,4400,1410,420,2025,32.04545454545455,9.545454545454547
2022-01-01,WK003477  ,3310,710,235,2022,21.45015105740181,7.099697885196375
2023-01-01,WK003477  ,4625,995,345,2023,21.513513513513512,7.45945945945946
2024-01-01,WK003477  ,5230,1115,400,2024,21.319311663479922,7.648183556405354
2025-01-01,WK003477  ,6135,1300,465,2025,21.189894050529748,7.579462102689487
2022-01-01,WK003485  ,90,5,15,2022,5.555555555555555,16.666666666666664
2023-01-01,WK003485  ,85,10,10,2023,11.76470588235294,11.76470588235294
2024-01-01,WK003485  ,80,5,15,2024,6.25,18.75
